sí	sim
no	não
hola (informal)	oi
chau	tchau
gracias (lo dice un hombre / una mujer)	obrigado / obrigada
perdón	desculpe
¿cómo estás?	como vai? / tudo bem?
¿cómo te llamas?	como você se chama?
me llamo…	eu me chamo…
no entiendo	não entendo
mucho	muito
bien / mal (sustantivo)	bem / mal
bueno / malo (adjetivo)	bom / mau
hasta luego	até logo
mucho gusto	muito prazer
¿hablas portugués?	você fala português?
de acuerdo	está combinado
¿nos vamos?	vamos embora?
¿cuánto cuesta?	quanto custa?
¿puedo pagar en cuotas?	posso pagar parcelado?
al contado	à vista
necesito ayuda	preciso de ajuda
permiso, ¿puedo pasar?	com licença, posso passar?
¿puedes hablar más despacio?	você pode falar mais devagar?
siéntete como en casa	fique à vontade
¡felicitaciones!	parabéns!
no estoy seguro	não tenho certeza
hoy / ayer / mañana	hoje / ontem / amanhã
anteayer	anteontem
dentro de un rato	daqui a pouco
mientras	enquanto
ahora	agora
¿qué hora es?	que horas são?
las cinco menos diez	dez para as cinco
mediodía / medianoche	meio-dia / meia-noite
lunes	segunda-feira
martes	terça-feira
miércoles	quarta-feira
jueves	quinta-feira
viernes	sexta-feira
verano / otoño / invierno	o verão / o outono / o inverno
a la derecha / izquierda	à direita / à esquerda
cerca / lejos	perto / longe
nosotros	nós / a gente
ustedes	vocês
dos (masc. / fem.)	dois / duas
ocho	oito
catorce	quatorze
dieciséis	dezesseis
cien	cem
mil millones	um bilhão
abuela / abuelo	avó / avô
hermana / hermano	irmã / irmão
padre / madre	pai / mãe
hombre / mujer	homem / mulher
niño (en general)	criança
novio/a (pareja)	namorado/a
nuera / yerno	nora / genro
cabeza	cabeça
pelo (de la cabeza)	cabelo
ojo / oreja	olho / orelha
cuello	pescoço
espalda	costas
rodilla	joelho
bajar	descer
besar	beijar
cerrar	fechar
hablar	falar
hacer	fazer
llamar	chamar
llegar	chegar
mirar	olhar
poner	pôr
quitar / sacar	tirar
salir	sair
saltar	pular
tener	ter
volver	voltar
bailar	dançar
baño	banheiro
dormitorio	quarto
ventana	janela
suelo	chão
heladera	geladeira
inodoro	vaso
vaso	copo
taza	xícara
tenedor / cuchillo / cuchara	garfo / faca / colher
cajón	gaveta
enchufe	tomada
basura	lixo
calle	rua
acera	calçada
parada de bus	ponto de ônibus
paso de peatones	faixa de pedestres
tienda	loja
panadería	padaria
carnicería	açougue
comisaría	delegacia
ómnibus	ônibus
tren	trem
ir en auto	ir de carro
desayuno / almuerzo / cena	café da manhã / almoço / jantar
jugo	suco
gaseosa	refrigerante
pollo	frango
porotos	feijão
pescado	peixe
jamón	presunto
pulpo	polvo
manteca	manteiga
torta (pastel)	bolo
lechuga	alface
zanahoria	cenoura
raro (falso amigo: esquisito)	esquisito
goma de borrar	borracha
apodo	apelido
taller	oficina
silla	cadeira
despertar	acordar
avergonzada	embaraçada
embarazada	grávida
ancho	largo
ratón	rato
¡genial!	legal!
¿no? / ¿verdad?	né?
¿cómo que…?	como assim?
la cuenta, por favor	a conta, por favor
quisiera…	eu queria…
¿dónde está el baño?	onde fica o banheiro?
vamos a comer (futuro)	a gente vai comer
me gusta el café	eu gosto de café
¿hay un restaurante cerca?	tem um restaurante aqui perto?
